Comment,Designator,Footprint,LCSC Part #
,S1,B3F-31XX,
,S2,B3F-31XX,
,FUSE-KOTAK1,FUSE-KOTAK,
,LORA-NICERF-V1,LORA-NICERF-V2,
,MINI1,MINI360,
,PZEM004T1,PZEM004T,
,SIM800L1,SIM800L,
,TB7.2,TB7.62,
,TB7.3,TB7.62,
,TB7.4,TB7.62,
1N5819HW-7,D1 D2,SOD3715X145N,
1uF,C7,C0805K,
10k,R2 R3 R41 R42 R43 R44 R45 R46 R47,R0805,
10uF,C8,153CLV-0505,
10uF,C1 C10 C11 C13,C0805K,
12MHz,Q18,SM49,
22pF,C5 C6,C0805K,
100nF,C2 C3 C4 C9,C0805K,
330,R1,R0805,
10118193-0001LF,J2,FCI_10118193-0001LF,
AMS1117,U1,SOT229P700X180-4N,
CH340G,U19,SOIC127P600X180-16N,
ESP32-WROOM-32D,U3,MODULE_ESP32-WROOM-32D,
HLK-5M05,PS1,CONV_HLK-5M05,
MMBT3904,Q16 Q17,SOT95P240X120-3N,
PC817X2NIP0F,U2,SOT254P975X400-4N,
S9013,Q1,SOT95P240X120-3N,
SLA-05VDC-SL-C,K1,SLA05VDCSLC,
SML-LXT0805IW-TR,D4 D5 D18 D19 D20,LEDC2012X120N,
U.FL-R-SMT(01),J1,HRS_U.FL-R-SMT(01),
US1M-13,D3,DIOM5226X240N,
