Designator,Mid X,Mid Y,Layer,Rotation
C1,54.75,35.45,Bottom,90.0
C2,52.93,35.46,Bottom,90.0
C3,50.52,42.79,Bottom,90.0
C4,54.77,42.81,Bottom,90.0
C5,19.02,72.77,Top,90.0
C6,21.78,72.81,Top,90.0
C7,59.47,42.80,Bottom,90.0
C8,24.80,85.62,Top,270.0
C9,46.49,43.04,Bottom,270.0
C10,56.53,35.44,Bottom,270.0
C11,61.70,42.80,Bottom,90.0
C13,50.47,54.75,Bottom,0.0
D1,63.60,35.52,Bottom,90.0
D2,60.90,35.49,Bottom,270.0
D3,40.05, 1.14,Top,0.0
D4,56.11,-0.17,Top,0.0
D5,54.13,-7.21,Top,270.0
D18,27.32,72.82,Top,90.0
D19,24.40,72.83,Top,90.0
D20, 8.33,62.13,Top,180.0
FUSE-KOTAK1,37.64,15.76,Top,90.0
J1,12.68,63.34,Top,90.0
J2,36.16,89.48,Top,180.0
K1,30.57, 3.18,Bottom,90.0
LORA-NICERF-V1,10.41,51.96,Top,0.0
MINI1,63.83,13.05,Top,180.0
PS1,20.92,29.92,Top,180.0
PZEM004T1,70.02,87.47,Top,270.0
Q1,39.51,-4.25,Top,90.0
Q16,55.53,48.31,Bottom,0.0
Q17,59.82,48.32,Bottom,0.0
Q18,14.77,81.12,Top,180.0
R1,56.07,-2.96,Top,180.0
R2,39.00, 5.51,Top,180.0
R3,57.40,-6.99,Top,90.0
R41,48.32,47.62,Bottom,0.0
R42,48.38,49.90,Bottom,180.0
R43,46.94,35.99,Bottom,180.0
R44,46.93,33.91,Bottom,180.0
R45,28.26,77.22,Top,90.0
R46,25.92,77.23,Top,90.0
R47, 8.19,64.44,Top,0.0
S1, 3.64,84.98,Top,270.0
S2, 3.64,74.64,Top,270.0
SIM800L1,62.36,79.30,Bottom,180.0
TB7.2,76.93, 6.15,Top,90.0
TB7.3,76.86,30.21,Top,270.0
TB7.4,76.83,54.31,Top,270.0
U1,11.24,70.60,Top,270.0
U2,47.73,-4.72,Top,270.0
U3,31.17,58.00,Top,0.0
U19,36.37,77.90,Top,0.0
